,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,solana,tron,staked-ether,dogecoin
2025-04-20 12:00:00,1669332705575.1611,189667227999.51526,144637387880.56772,86058647493.5893,119263827545.84428,60897672481.123474,70395547865.24028,23225484400.91804,14571125465.869797,22807265164.432686
2025-04-20 13:00:00,1674631137236.5178,190296221055.18564,144641104890.89667,86258161187.20483,119783618704.17543,60898266913.771355,70819669179.55768,23268541463.027195,14609226885.999811,22953281491.28295
2025-04-20 14:00:00,1674901066601.6895,190482861836.76025,144640421481.6625,86133067599.84764,119884493572.17168,60901254483.48872,70905344406.65456,23279188240.064106,14627943330.180695,23000362449.395054
2025-04-20 15:00:00,1679947497347.6538,190777830381.90326,144640018377.69263,86118256214.51855,120238570347.39517,60898545014.93233,71054126427.98323,23257926167.80789,14651800213.429482,23027452994.45863
2025-04-20 16:00:00,1674854599497.571,189951424195.32443,144643591392.44696,85848263533.18324,119658815224.7984,60911575174.74175,70476149905.51248,23236861023.84581,14573349037.479233,22815611880.623066
2025-04-20 17:00:00,1679450311424.036,190751668295.55283,144646790766.50717,85972480264.32362,120265636410.28603,60898961147.641846,70709914509.37477,23283303692.92593,14648451050.250916,22948390537.171238
2025-04-20 18:00:00,1678984581602.7239,190614875615.8679,144647542790.24838,85958217945.56456,120120882745.39857,60904960545.20808,70532558675.10623,23307483389.44752,14642231048.894272,22895980177.48969
2025-04-20 19:00:00,1678657868644.1992,190811379168.09488,144643450301.2588,85921341197.1473,120175703167.27684,60899274218.17231,70510245478.66049,23416269891.015762,14649520425.558878,22934044280.190388
2025-04-20 20:00:00,1680256538983.5999,191335413858.2689,144642016165.46295,86017374647.72156,121033318140.32524,60906834878.40411,70757112264.23167,23383726814.614964,14704325762.639927,23021712076.755386
2025-04-20 21:00:00,1688901886144.595,191789404589.98453,144632916701.1685,86089737006.69794,121452615169.19191,60906585643.17037,71018566184.85333,23383078313.31458,14732495735.166552,23249466305.901016
2025-04-20 22:00:00,1688694921426.2583,191710023049.77866,144637411306.65015,86285030295.27357,121370194267.47194,60912761725.90199,71025006615.06996,23366456158.431053,14722989119.98282,23181215674.996944
2025-04-20 23:00:00,1684222671586.06,190888325200.3702,144637678399.5817,86078074390.78139,120795405379.28552,60909216065.84688,70689620867.97528,23287564636.82051,14658578698.630129,23007132755.882202
2025-04-21 00:00:00,1690139216751.109,191463074137.76187,144636907002.73224,86501359228.77446,121273476918.60631,60908895188.75073,71198632182.69197,23165867116.77451,14706692045.443321,23102163314.92349
2025-04-21 01:00:00,1721425730645.1816,194732178188.11496,144623362274.64487,87148398598.38834,123211819876.01204,60910294823.21574,73197195321.77704,23247685486.693604,14935202473.20458,23759331604.973343
2025-04-21 02:00:00,1732436011691.1497,196329229210.96768,144624750150.4594,87575048638.43802,123789697140.27107,60904307200.50527,73275770116.9568,23416163982.1257,15090041623.90531,23868436031.997375
2025-04-21 03:00:00,1733668510737.0144,197036428638.06296,144638900631.47803,87499911943.53816,123423026224.3043,60909881606.7704,72461338368.75613,23305997372.17368,15143142639.54183,23835013377.93176
2025-04-21 04:00:00,1731977330230.6045,197468600422.94992,144638581028.66296,87791764169.32924,123254660576.39095,60909969788.70954,72095486066.54584,23257095758.733246,15155050849.65986,23872371837.813988
2025-04-21 05:00:00,1733204022239.214,197776804922.37784,144640035670.08826,87976624852.42229,123596434468.79636,60913395516.86382,72750790986.89677,23217774642.730682,15197455393.453388,23952507837.50676
2025-04-21 06:00:00,1738150005061.5452,198866052852.39322,144638936772.55466,88450572279.90189,124078892764.94476,60912841906.093575,72998649366.02287,23240626372.46921,15289333156.531776,24116056294.883034
